coefficient,beta,std_error,tval,pval,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
d_treated_{h=4},0.015678641929859502,0.00810232926366851,1.9350783484156562,0.05299468255240859,prod_res_ma3,80222,91653,5735,23369,0.008274946069711908,0.008199196433861466,5.759837336494211e-5,4.668733182833229e-5,le5_panelsize10,LE-event def: first
d_treated_{h=4},0.025212437168319207,0.004816190432518605,5.234933610200807,1.6704224794674028e-7,tfp_cd_ma3,80223,75965,5735,23369,0.0013135878944733337,0.0012215515464771842,5.68587870638182e-4,5.554300127432743e-4,le5_panelsize10,LE-event def: first
d_treated_{h=4},0.01692178602632034,0.0034253425245323256,4.940173400215131,7.880783399488619e-7,tfp_tl_ma3,80224,75965,5735,23369,0.0017655172344721581,0.001673522535111216,6.313943039856218e-4,6.182372729589547e-4,le5_panelsize10,LE-event def: first
d_treated_{h=5},0.016459817276821373,0.009649832164274102,1.7057102130500676,0.08807863247251005,prod_res_ma3,80225,74933,5735,22193,0.0036496191417060286,0.0035698323883074368,5.091768692078169e-5,3.757186461195161e-5,le5_panelsize10,LE-event def: first
d_treated_{h=5},0.028113149218527946,0.005549729758057623,5.0656789508913675,4.1163321651138387e-7,tfp_cd_ma3,80226,62001,5735,22193,0.0010619506837874493,9.65269903455579e-4,6.502486548276565e-4,6.341285504409822e-4,le5_panelsize10,LE-event def: first
d_treated_{h=5},0.0191139384531821,0.004226137221203072,4.522791725097099,6.148301690341505e-6,tfp_tl_ma3,80227,62001,5735,22193,0.0010586833128675144,9.620022163077113e-4,7.331836922459534e-4,7.170649256506012e-4,le5_panelsize10,LE-event def: first
d_treated_{h=6},0.0309580102764441,0.013055794947305736,2.3712083715616843,0.017741538009576806,prod_res_ma3,80228,59755,5735,21080,0.0038324788871797466,0.003749116193150326,1.2885225285275137e-4,1.1211772762642624e-4,le5_panelsize10,LE-event def: first
d_treated_{h=6},0.039645410883137014,0.006863535666352571,5.776237322913983,7.807360621523613e-9,tfp_cd_ma3,80229,49376,5735,21080,0.0013045912812824634,0.0012034473265813972,0.0010517079251195494,0.0010314740119724553,le5_panelsize10,LE-event def: first
d_treated_{h=6},0.024184135143981107,0.005280574387906265,4.579830406208909,4.695149226703568e-6,tfp_tl_ma3,80230,49376,5735,21080,0.0011856154867806445,0.0010844594826775467,9.449105106164035e-4,9.24674434264583e-4,le5_panelsize10,LE-event def: first
d_treated_{h=-4},0.04537800603963165,0.004374840319973709,10.37249424452236,3.76651787430471e-25,prod_res_ma3,80301,139784,4071,22815,0.048038514251889985,0.04797721777778374,9.056086263227181e-4,8.984606990160016e-4,le5_panelsize10,LE-event def: concentrated
d_treated_{h=-4},0.007568874768138127,0.002180344325575002,3.471412601833913,5.188759079238209e-4,tfp_cd_ma3,80302,116834,4071,22815,0.0025470661839825937,0.002470223442727848,9.803758110660254e-5,8.947853534191363e-5,le5_panelsize10,LE-event def: concentrated
d_treated_{h=-4},0.007023809820096068,0.0014977347463130208,4.68962200241839,2.7560944760844856e-6,tfp_tl_ma3,80303,116834,4071,22815,0.007182888864333603,0.007106403262058247,1.9982890873593284e-4,1.9127073429325847e-4,le5_panelsize10,LE-event def: concentrated
d_treated_{h=-3},0.03237657978320893,0.002750162228593268,11.772607247162227,6.58299885589452e-32,prod_res_ma3,80304,161915,4071,24654,0.03722159295789784,0.037162126952916985,9.769347077972501e-4,9.707642421800111e-4,le5_panelsize10,LE-event def: concentrated
d_treated_{h=-3},0.00441013820944181,0.0014485267204696333,3.04456807535589,0.002333084308411462,tfp_cd_ma3,80305,135485,4071,24654,0.002412789379825031,0.002339152577883641,8.180637566002069e-5,7.442548933778159e-5,le5_panelsize10,LE-event def: concentrated
d_treated_{h=-3},0.003973220098516724,9.027704438828834e-4,4.4011410934407715,1.0822357384005098e-5,tfp_tl_ma3,80306,135485,4071,24654,0.005319087113455301,0.005245664839595654,1.4712060098986957e-4,1.397401967838663e-4,le5_panelsize10,LE-event def: concentrated
d_treated_{h=-1},-0.031029072727912964,0.0030102920778454145,-10.307661823340977,7.2720771129057735e-25,prod_res_ma3,80307,181706,4071,27426,0.03418401107909441,0.034125539275522865,8.4691812931037e-4,8.41419031476276e-4,le5_panelsize10,LE-event def: concentrated
d_treated_{h=-1},-0.004663902202511549,0.001408892694116829,-3.310331739235214,9.333827880375638e-4,tfp_cd_ma3,80308,151021,4071,27426,0.00220391578150958,0.0021312329816340903,8.919672823182179e-5,8.257519704313321e-5,le5_panelsize10,LE-event def: concentrated
d_treated_{h=-1},-0.004050399427586166,0.001012407199836725,-4.000761184076318,6.334971008575164e-5,tfp_tl_ma3,80309,151021,4071,27426,0.004755487831436089,0.004682990896592076,1.4162589569743922e-4,1.3500471170102557e-4,le5_panelsize10,LE-event def: concentrated
d_treated_{h=0},-0.03448065997640131,0.005033043791711458,-6.8508563412829675,7.506021880207049e-12,prod_res_ma3,80310,181706,4071,27426,0.03878504438778074,0.038726851136975826,4.00078289350958e-4,3.945767322179883e-4,le5_panelsize10,LE-event def: concentrated
d_treated_{h=0},-0.0037533760262935534,0.0024784519529110543,-1.5144033846954519,0.1299383403833371,tfp_cd_ma3,80311,149818,4071,27426,0.0019802092652800862,0.0019069263680792092,2.1584785075079438e-5,1.490962910533078e-5,le5_panelsize10,LE-event def: concentrated
d_treated_{h=0},-0.0030534327637211597,0.001953551780288233,-1.5630160380343985,0.11806361962544618,tfp_tl_ma3,80312,149818,4071,27426,0.005792542801590361,0.0057195398375623485,3.119393018269356e-5,2.4518838356746286e-5,le5_panelsize10,LE-event def: concentrated
d_treated_{h=1},-0.0034423372071163585,0.0060102674731379105,-0.5727427643613909,0.5668241849120115,prod_res_ma3,80313,155076,4071,26094,0.04266121133645939,0.042599473433730606,2.8000561680396885e-6,-3.6488342969320797e-6,le5_panelsize10,LE-event def: concentrated
