quantile,wage_agreement_num_07,participation_siren0912,mean_xval,xname
11,0.07535471563133421,0.46153324487588226,2.379331957476347,fe0215_god2
12,0.09722976643128735,0.4711789643618389,2.3998682728066782,fe0215_god2
13,0.1366906474820144,0.49400379261662625,2.4209401182540753,fe0215_god2
14,0.1588157396897465,0.5103116659424847,2.443300314819408,fe0215_god2
15,0.19547378422734732,0.5466593616935063,2.4679134108263594,fe0215_god2
16,0.2536016096579477,0.537940913536343,2.496079079257091,fe0215_god2
17,0.31549801691236995,0.5725056083460349,2.5304330958590913,fe0215_god2
18,0.3385642003373176,0.5946815530864201,2.5761467833906333,fe0215_god2
19,0.31129350965192276,0.5807487082377032,2.647240093937426,fe0215_god2
20,0.19871368374362386,0.5470521343007378,2.868534448744339,fe0215_god2
