variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
before1994,-1.4561780974959573e-4,0.0026807839088966593,-0.054319115116416905,0.957314176988021,fe0215_mlo,~siren+an,12,12551,113990,0.20737608039238842,0.20723002972630877,0.20634582519469247,0.2063179698607459,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
maxmfg,0.021934855071397235,0.002468515947291894,8.885847018918817,8.491549421183907e-8,fe0215_mlo,~siren+an,12,12551,113990,0.20737608039238842,0.20723002972630877,0.20634582519469247,0.2063179698607459,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
ln_emp_ma3,0.016596594632694067,0.0010254756745487173,16.18428895448715,9.217337170286746e-12,fe0215_mlo,~siren+an,12,12551,113990,0.05779368671880791,0.05762007366445143,0.05656900383005492,0.0565358916934493,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
tfp_cd_ma3,0.006035266173024531,0.005110188633274147,1.1810261041494428,0.2538523852586548,fe0215_mlo,~siren+an,12,12551,113990,0.05779368671880791,0.05762007366445143,0.05656900383005492,0.0565358916934493,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
before1994,-0.003996986799562971,0.00294426875093076,-1.35754821916288,0.19235625039024826,fe0215_mlo,~siren+an,12,12551,113990,0.05779368671880791,0.05762007366445143,0.05656900383005492,0.0565358916934493,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
maxmfg,0.017954005588094655,0.002751403400145455,6.525399215231581,5.187469028200116e-6,fe0215_mlo,~siren+an,12,12551,113990,0.05779368671880791,0.05762007366445143,0.05656900383005492,0.0565358916934493,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
ln_emp_ma3,0.016898738051012864,0.0010108700364283446,16.717023397706306,5.481420555857085e-12,fe0215_mlo,~siren+an,12,12551,113990,0.06067083812431895,0.06049775522035128,0.05944989496649844,0.05941688394217459,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
tfp_tl_ma3,0.03863938195757376,0.009846156674084911,3.92431110295783,0.0010925348404300882,fe0215_mlo,~siren+an,12,12551,113990,0.06067083812431895,0.06049775522035128,0.05944989496649844,0.05941688394217459,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
before1994,-0.0036636409802454726,0.00294508230862406,-1.2439859387010215,0.23038503457944584,fe0215_mlo,~siren+an,12,12551,113990,0.06067083812431895,0.06049775522035128,0.05944989496649844,0.05941688394217459,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
maxmfg,0.01935160662247736,0.0026435222638559338,7.3203872299718915,1.1960914575216684e-6,fe0215_mlo,~siren+an,12,12551,113990,0.06067083812431895,0.06049775522035128,0.05944989496649844,0.05941688394217459,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
