variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
extwage_agreement_ind_07,0.025632161551521804,0.0021354057014454256,12.003415338908088,5.425453003522213e-20,fe0215_god2,~minmax_year,12,6799,6799,0.03515928032179483,0.022651287085018734,0.013917233191740541,0.013623362601125621,le5_panelsize0-acco,fe0215_god2~extwage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.004017544457720904,0.0013469568563773825,2.982682361873135,0.003728033346970202,fe0215_god2,~minmax_year,12,6799,6799,0.03515928032179483,0.022651287085018734,0.013917233191740541,0.013623362601125621,le5_panelsize0-acco,fe0215_god2~extwage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
extwage_agreement_ind_07,0.018397715679155435,0.001502647411087711,12.24353467313933,1.8541956273479928e-20,fe0215_god2,~minmax_year,12,6799,6799,0.26524085268804554,0.24764381933624546,0.006567647054356529,0.006418011212671715,le5_panelsize0-acco,fe0215_god2~extwage_agreement_ind_07 | minmax_year+naf2d_num_main
wage_agreement_ind_07,0.031913769547237125,0.0017882658161344853,17.846211261937512,1.7319549228202047e-30,fe0215_mlo_le,~minmax_year,12,6799,6799,0.037506154703637606,0.0251738438133684,0.01939669541706779,0.019250598381224115,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_ind_07 | minmax_year
wage_agreement_ind_07,0.031380367661064695,0.0020488179351085957,15.316328075486808,3.600841158166175e-26,fe0215_mlo_le,~minmax_year,12,6799,6799,0.037543442680860295,0.025066357226119496,0.01943468497291223,0.0191424586832305,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,6.703372219984492e-4,0.0011873978170837364,0.5645430809741638,0.5738713870440872,fe0215_mlo_le,~minmax_year,12,6799,6799,0.037543442680860295,0.025066357226119496,0.01943468497291223,0.0191424586832305,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
wage_agreement_ind_07,0.024934193519411212,0.0013656492396376836,18.258124264782975,3.702288682581743e-31,fe0215_mlo_le,~minmax_year,12,6799,6799,0.2564057394024758,0.2385971104771849,0.014201387983940106,0.01405290197520137,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_ind_07 | minmax_year+naf2d_num_main
wage_agreement_fail_07,0.014182725614551866,0.0021448555194761845,6.612438686786494,3.1689968897768624e-9,fe0215_mlo_le,~minmax_year,12,6799,6799,0.02046237990283517,0.007911689299683222,0.0020322395570014917,0.001883555444897378,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_fail_07 | minmax_year
wage_agreement_fail_07,0.01108282812714958,0.002150957618585752,5.152508832059883,1.6445035851925823e-6,fe0215_mlo_le,~minmax_year,12,6799,6799,0.02259985570169243,0.0099290447116831,0.004209932268564032,0.003913168725803939,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_fail_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.0048526337101058485,0.0012927117719063992,3.753840427204844,3.1775685018848443e-4,fe0215_mlo_le,~minmax_year,12,6799,6799,0.02259985570169243,0.0099290447116831,0.004209932268564032,0.003913168725803939,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_fail_07+ln_emp_mean_0215 | minmax_year
wage_agreement_fail_07,0.00608784064130697,0.0019202466814443235,3.1703430086013578,0.0021176367985487796,fe0215_mlo_le,~minmax_year,12,6799,6799,0.24605126195960214,0.22799464961611327,4.7423860662476613e-4,3.2368494471890497e-4,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_fail_07 | minmax_year+naf2d_num_main
wage_agreement_share_07,0.03323041632703454,0.001845859330580005,18.002680798321123,9.614748183856822e-31,fe0215_mlo_le,~minmax_year,12,6799,6799,0.036777846503448286,0.02443620389309309,0.01865468399398107,0.018508476408163776,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_share_07 | minmax_year
wage_agreement_share_07,0.03229362209374635,0.0020738973077928874,15.571466326900405,1.2733851756450091e-26,fe0215_mlo_le,~minmax_year,12,6799,6799,0.03690117538142024,0.024415763707777538,0.018780333322421794,0.018487912024052644,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_share_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.0012058883047136168,0.0011646210750949602,1.0354340398788435,0.30340309791132464,fe0215_mlo_le,~minmax_year,12,6799,6799,0.03690117538142024,0.024415763707777538,0.018780333322421794,0.018487912024052644,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_share_07+ln_emp_mean_0215 | minmax_year
wage_agreement_share_07,0.027074447485491638,0.001363047304187485,19.863175256144736,1.1022463960847898e-33,fe0215_mlo_le,~minmax_year,12,6799,6799,0.25692424772205613,0.23912803675471273,0.01488878541133587,0.014740402941899378,le5_panelsize0-acco,fe0215_mlo_le~wage_agreement_share_07 | minmax_year+naf2d_num_main
extwage_agreement_ind_07,0.024539839326390003,0.001774858884109434,13.826360814427954,1.8367899685392045e-23,fe0215_mlo_le,~minmax_year,12,6799,6799,0.028346328398446197,0.015896653821906637,0.010064525670558266,0.009917038263774991,le5_panelsize0-acco,fe0215_mlo_le~extwage_agreement_ind_07 | minmax_year
extwage_agreement_ind_07,0.02255715995458912,0.0020209475946606206,11.161674856975775,2.4447370821968437e-18,fe0215_mlo_le,~minmax_year,12,6799,6799,0.029184119428259048,0.01659866545571531,0.010918079858358354,0.010623315465528083,le5_panelsize0-acco,fe0215_mlo_le~extwage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.0030847892845485177,0.0012803544977473772,2.409324362882168,0.018141164445798337,fe0215_mlo_le,~minmax_year,12,6799,6799,0.029184119428259048,0.01659866545571531,0.010918079858358354,0.010623315465528083,le5_panelsize0-acco,fe0215_mlo_le~extwage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
extwage_agreement_ind_07,0.016539952568367912,0.001348083662390648,12.269233008162487,1.6535110896253527e-20,fe0215_mlo_le,~minmax_year,12,6799,6799,0.24986817016114782,0.2319029704406511,0.0055343944021426505,0.005384602926679749,le5_panelsize0-acco,fe0215_mlo_le~extwage_agreement_ind_07 | minmax_year+naf2d_num_main
