variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.024702021360469673,7.138623358209976e-4,34.60334033740611,8.075757478853237e-58,fe0215_le,~minmax_year,12,28133,28133,0.09988597146506761,0.09657826355757548,0.07492712845413108,0.07486112018615532,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,-0.0013210391160545457,0.007700415801693721,-0.1715542575978794,0.8641312216383239,fe0215_le,~minmax_year,12,28133,28133,0.09988597146506761,0.09657826355757548,0.07492712845413108,0.07486112018615532,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.01282300515752604,0.0022364764755875887,5.733574798347501,1.027054853409444e-7,fe0215_le,~minmax_year,12,28133,28133,0.02837153003711479,0.024835814591655847,0.001429696360517374,0.001394071305089728,panelpanSIZE2-fixed,fe0215_le~before1994 | minmax_year
maxmfg,0.019064323188229385,0.0035767991131979596,5.329995502930069,5.999461883535202e-7,fe0215_le,~minmax_year,12,28133,28133,0.031031644207878184,0.027505608806850934,0.004163571599184013,0.0041280440776571,panelpanSIZE2-fixed,fe0215_le~maxmfg | minmax_year
ln_emp_mean_0215,0.022422392401051115,0.0013090772629154588,17.128394966630147,1.218786668652002e-31,fe0215_le,~minmax_year,12,28133,28133,0.21154941171686215,0.20859557035782517,0.18968683227582217,0.1895711847691003,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.0824038077595172,0.012176050171688362,6.767696140996672,8.731365787665454e-10,fe0215_le,~minmax_year,12,28133,28133,0.21154941171686215,0.20859557035782517,0.18968683227582217,0.1895711847691003,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0030943938188594715,0.0017584019069779681,1.7597761959764768,0.08147351517763182,fe0215_le,~minmax_year,12,28133,28133,0.21154941171686215,0.20859557035782517,0.18968683227582217,0.1895711847691003,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.01767272262849778,0.0022984627329441427,7.688931552029329,1.0043880107285147e-11,fe0215_le,~minmax_year,12,28133,28133,0.21154941171686215,0.20859557035782517,0.18968683227582217,0.1895711847691003,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.024229773726373412,6.124087832720125e-4,39.564706431735345,2.6967113961534995e-63,fe0215_le,~minmax_year,12,28133,28133,0.10186006162456773,0.09849528146509934,0.07695595724098103,0.0768242208378328,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.013738569523532054,0.004130203052509297,3.326366609308763,0.001227718686464367,fe0215_le,~minmax_year,12,28133,28133,0.10186006162456773,0.09849528146509934,0.07695595724098103,0.0768242208378328,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.002743321913371252,0.0021857975468001036,-1.2550667912439262,0.2123507529178085,fe0215_le,~minmax_year,12,28133,28133,0.10186006162456773,0.09849528146509934,0.07695595724098103,0.0768242208378328,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.005904940490346905,0.0026265036297301344,2.248213337117535,0.026735655653076316,fe0215_le,~minmax_year,12,28133,28133,0.10186006162456773,0.09849528146509934,0.07695595724098103,0.0768242208378328,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
