an,annai,tenure,n_individuals,n_eqtp
2007,1946,4,596,381.3543956043956
2012,1950,4,596,283.6324175824176
2019,1952,2,601,154.1032967032967
2018,1952,3,606,204.87472527472528
2018,1956,9,606,396.6879120879121
2005,1978,8,609,547.882967032967
2012,1950,7,609,397.8736263736264
2011,1946,2,612,183.41593406593407
2018,1956,8,612,411.2967032967033
2017,1954,4,615,312.7291208791209
2017,1956,9,618,459.41373626373627
2012,1946,10,621,413.3445054945055
2017,1950,2,622,187.5912087912088
2009,1946,8,625,455.88461538461536
2005,1976,10,626,564.6763736263737
2016,1952,3,628,264.2720611907624
2009,1948,6,630,418.6164835164835
2010,1946,2,630,217.81263736263736
2008,1982,8,631,538.0005494505494
2007,1948,7,635,498.91923076923075
2012,1950,6,635,370.5510989010989
2008,1950,9,637,535.9445054945055
2003,1946,8,641,536.2197802197802
2004,1946,8,641,514.7054945054945
2010,1948,5,641,374.6087912087912
2005,1948,9,643,513.1868131868132
2010,1948,4,645,342.3840659340659
2005,1946,6,649,464.59835164835164
2017,1948,10,650,363.43956043956047
2009,1984,8,651,561.8653846153846
2004,1946,7,656,508.7274725274725
2016,1954,6,656,396.90120192307694
2017,1948,1,659,89.67582417582418
2004,1948,9,664,561.4527472527473
2015,1990,8,664,556.2939560439561
2019,1954,4,668,289.48296703296705
2013,1986,9,672,579.8989010989011
2010,1950,8,673,501.8813186813187
2014,1952,4,674,347.65604395604396
2015,1950,2,674,201.5686813186813
2015,1954,7,675,460.31813186813184
2004,1976,8,676,612.8598901098901
2004,1954,9,680,621.3115384615385
2014,1988,9,680,592.934065934066
2011,1984,9,687,584.5214285714286
2019,1954,3,687,249.6912087912088
2013,1948,2,688,213.52142857142857
2002,1974,9,700,623.2302197802197
2019,1992,10,700,620.617032967033
2006,1950,9,706,621.2082417582418
2015,1952,4,707,358.09120879120877
2004,1956,9,708,638.7054945054945
2008,1980,10,708,652.7285714285714
2014,1950,3,709,286.85494505494506
2011,1948,3,713,298.6
2005,1946,5,717,519.973076923077
2011,1984,10,718,663.5835164835165
2009,1946,3,725,309.0615384615385
2004,1950,9,728,638.0401098901099
2018,1956,6,730,438.4818681318681
2006,1948,8,732,595.6467032967033
2016,1948,10,732,443.0294685782967
2004,1974,9,735,664.6203296703296
2004,1978,7,736,623.7148351648351
2006,1952,9,737,673.4065934065934
2019,1950,10,737,365.7142857142857
2006,1948,7,740,563.1516483516483
2005,1980,7,741,610.1186813186813
2011,1950,7,743,507.2302197802198
2010,1946,10,744,555.262087912088
2004,1952,9,745,675.3862637362637
2008,1950,8,745,600.2093406593407
2018,1952,2,747,216.16263736263735
2012,1948,2,749,244.0445054945055
2015,1948,1,749,102.29395604395604
2009,1948,5,750,467.94505494505495
2005,1948,8,753,606.8038461538462
2016,1948,1,757,124.5707025884272
2005,1950,9,761,673.0692307692308
2015,1954,6,762,456.20494505494503
2019,1950,1,763,87.03021978021978
2013,1946,1,764,98.56703296703297
2005,1956,9,766,684.1087912087912
2005,1952,9,770,681.9510989010989
2004,1960,9,771,699.2714285714286
2003,1954,8,772,693.7945054945055
2015,1954,8,775,557.6851648351649
2003,1948,8,776,679.373076923077
2005,1954,9,777,706.8318681318681
2017,1990,9,777,672.2032967032967
2001,1976,6,779,609.2697802197803
2006,1956,9,779,715.6456043956044
2003,1946,7,781,650.9038461538462
2013,1950,3,782,317.878021978022
2019,1958,9,783,546.8357142857143
2006,1954,9,786,731.6010989010989
2010,1984,8,787,678.4758241758242
2015,1952,3,787,320.47362637362636
2008,1952,9,788,682.9576923076924
2011,1952,9,788,630.7351648351648
2017,1954,6,788,396.99285714285713
2017,1956,8,788,530.2648351648352
2008,1948,6,792,570.6846153846154
2019,1956,8,792,410.57142857142856
2007,1950,8,793,649.3291208791209
2010,1948,3,796,363.81703296703296
2012,1950,3,796,330.7653846153846
2005,1958,9,800,736.1258241758242
2004,1948,8,801,684.7824175824176
2009,1952,9,801,685.1258241758242
2008,1946,3,802,401.28241758241757
2003,1946,6,803,650.0489010989011
2003,1974,9,806,727.6901098901099
2012,1986,8,807,668.7725274725275
2003,1976,7,808,709.334065934066
2006,1976,9,808,734.626923076923
2013,1988,8,808,692.0631868131868
